booking_ref,guest_name,email,cabin_number,checkin_date,checkout_date,nationality
BK1021,Anna Larsen,,4022,2026-06-11,2026-06-16,SE
BK1004,Marcus Berg,marcus.berg@yahoo.com,6208,2026-07-19,2026-07-24,SE
BK1024,Erik Solberg,,3078,2026-06-26,2026-06-29,NO
BK1032,Signe Mortensen,signe.mortensen@gmail.com,4301,2026-07-27,2026-08-01,DK
BK1003,Ingrid Haugen,ingrid.haugen@icloud.com,3012,2026-07-16,2026-07-23,NO
BK1023,Maja Karlsson,m.karlsson@gmail.com,5061,2026-07-03,2026-07-10,SE
BK1020,Fredrik Lund,fredrik.lund@outlook.com,2033,2026-06-30,2026-07-03,SE
BK1017,Birgitte Skov,birgitte.skov@hotmail.com,5199,2026-07-28,2026-07-31,DK
BK1019,Camilla Strnad,camilla.strand@gmail.com,6077,2026-06-04,2026-06-09,NO
BK1029,Kjell Bakken,kjell.bakken@gmail.com,5210,2026-07-06,2026-07-09,NO
BK1006,Ole Johansen,ole.johansen@hotmail.com,4113,2026-06-06,2026-06-09,NO
BK1005,Freja Sørensen,freja.sorensen@gmail.com,2045,2026-07-17,2026-07-22,DK
BK1018,Anders Moe,anders.moe@gmail.com,3145,2026-07-21,2026-07-26,NO
BK1030,Ida Truelsen,ida.truelsen@gmail.com,3210,2026-06-08,2026-06-11,DK
BK1014,Mikael Svnesson,mikael.svensson@yahoo.com,6112,2026-07-27,2026-08-01,SE
BK1009,Sigrid Dahl,sigrid.dahl@icloud.com,6021,2026-07-29,2026-08-05,NO
BK1011,Kristine Andersen,kristine.andersen@gmail.com,4055,2026-07-21,2026-07-28,DK
BK1013,Elisabeth Holm,elisabeth.holm@gmail.com,3067,2026-07-26,2026-08-02,SE
BK1026,Thomas Berg,,6209,2026-07-30,2026-08-04,SE
BK1001,Anna Larsen,anna.larsen@gmail.com,4021,2026-07-11,2026-07-14,DK
BK1022,Nils Berg,,6208,2026-06-28,2026-07-05,DK
BK1027,Linnea Holm,linnea.holm@gmail.com,3068,2026-07-13,2026-07-20,SE
BK1010,Lars Eriksson,lars.eriksson@gmail.com,2110,2026-07-28,2026-08-04,SE
BK1012,Bjørn Kristiansen,bjorn.kristiansen@outlook.com,5033,2026-07-20,2026-07-27,NO
BK1015,Tone Fredriksen,tone.fredriksen@icloud.com,2088,2026-06-09,2026-06-16,NO
BK1007,Karin Lindqvist,karin.lindqvist@gmail.com,5087,2026-06-14,2026-06-21,SE
BK1008,Henrik Poulsen,henrik.poulsen@gmail.com,3099,2026-07-14,2026-07-19,DK
BK1016,Jonas Weber,jonas.weber@gmail.com,4144,2026-06-26,2026-07-03,DK
BK1031,Ragnhild Vik,,2201,2026-06-23,2026-06-30,NO
BK1002,Peter Nilsson,peter.nilsson@outlook.com,5104,2026-07-08,2026-07-13,SE
BK1028,Gustav Ahlberg,,2099,2026-07-14,2026-07-21,SE
BK1025,Sara Jensen,sara.jensen@gmail.com,,2026-06-21,2026-06-24,DK
