contact_id,full_name,email,phone,marketing_consent,last_contacted_date
HS218,Anders Moe,anders.moe@gmail.com,+4727270733,yes,2026-05-13
HS228,Gustav Ahlberg,,+4520475894,no,2026-05-30
HS208,Henrik Poulsen,henrik.poulsen@gmail.com,+4628883684,yes,2026-05-14
HS223,Maja Karlsson,m.karlsson@gmail.com,+4729121552,yes,2026-06-15
HS230,Oskar Lindberg,oskar.lindberg@gmail.com,+4553491314,yes,2026-06-05
HS201,Anna Larsen,anna.larsen@gmail.com,+4793197857,yes,2026-06-18
HS224,Erik Solberg,,+4560264926,no,2026-04-27
HS209,Sigrid Dahl,sigrid.dahl@icloud.com,+4698461803,no,2026-05-12
HS212,Bjørn Kristiansen,,+4743978249,yes,2026-06-07
HS205,Freja Sørensen,freja.sorensen@gmail.com,+4550587988,no,2026-06-29
HS229,Pernille Rasmussen,pernille.r@gmail.com,+4579302158,no,2026-06-07
HS204,Marcus Berg,marcus.berg@yahoo.com,+4755503389,yes,2026-05-26
HS213,Elisabeth Holm,elisabeth.holm@gmail.com,+4535014631,no,2026-05-15
HS214,Mikael Sevnsson,mikael.svensson@yahoo.com,+4591498611,yes,2026-05-16
HS202,Peter Nilsson,peter.nilsson@outlook.com,+4723561597,yes,2026-04-25
HS227,Linnea Holm,linnea.holm@gmail.com,+4566020613,yes,2026-04-17
HS210,Lars Eriksson,lars.eriksson@gmail.com,+4540514014,yes,2026-07-12
HS203,Ingrid Haugen,ingrid.haugen@icloud.com,+4640868105,yes,2026-05-24
HS206,Ole Johansen,ole.johansen@hotmail.com,+4569684848,no,2026-04-11
HS216,Jonas Weber,jonas.weber@gmail.com,+4550728046,yes,2026-03-28
HS217,Birgitte Skov,,+4783440831,yes,2026-05-06
HS207,Karin Lindqvist,karin.lindqvist@gmail.com,+4794752529,yes,2026-05-01
HS222,Nils Berg,,+4598406989,no,2026-06-11
HS225,Sara Jensen,sara.jensen@gmail.com,+4755594597,yes,2026-05-15
HS231,Aleksander Hoff,aleksander.hoff@gmail.com,+4641367172,yes,2026-06-15
HS215,Tone Fredriksen,tone.fredriksen@icloud.com,+4746998038,no,2026-03-22
HS211,Kristine Andersen,kristine.andersen@gmail.com,+4735374874,no,2026-07-10
HS221,Anna Larsen,,+4681070189,no,2026-04-13
HS220,Fredrik Lund,fredrik.lund@outlook.com,+4532517517,yes,2026-04-12
HS219,Camilla Stradn,camilla.strand@gmail.com,+4644627347,no,2026-05-08
HS226,Thomas Berg,,+4760603163,yes,2026-05-25
