transaction_id,cabin_number,guest_name_captured,transaction_date,amount,store
TX5027,,Tone,2026-06-15,212.44,Photo Shop
TX5002,5104,Peter,2026-07-08,54.35,Onboard Boutique
TX5006,6208,Marcus,2026-07-22,28.5,Onboard Boutique
TX5046,,Sara,2026-06-21,23.53,Spa
TX5012,5087,Karin,2026-06-16,106.0,Deck Bar
TX5048,3068,Linnea,2026-07-15,64.07,Onboard Boutique
TX5009,2045,Freja,2026-07-21,48.77,Main Restaurant
TX5019,4055,Kristine,2026-07-27,88.9,Onboard Boutique
TX5026,,Tone,2026-06-11,64.19,Photo Shop
TX5018,2110,Lars,2026-08-04,27.27,Deck Bar
TX5041,6208,Nils,2026-06-28,166.57,Photo Shop
TX5050,2099,Gustav,2026-07-21,61.24,Photo Shop
TX5015,6021,Sigrid,2026-08-05,38.29,Spa
TX5031,5199,Birgitte,2026-07-29,67.04,Onboard Boutique
TX5016,6021,Sigrid,2026-08-01,165.94,Deck Bar
TX5056,4301,Signe,2026-07-30,13.25,Deck Bar
TX5052,3210,Ida,2026-06-08,184.93,Deck Bar
TX5053,3210,Ida,2026-06-09,99.11,Photo Shop
TX5036,,Fredrik,2026-06-30,18.72,Spa
TX5030,4144,Jonas,2026-06-29,9.52,Deck Bar
TX5014,6021,Sigrid,2026-08-01,146.95,Main Restaurant
TX5029,4144,Jonas,2026-07-01,12.46,Onboard Boutique
TX5045,3078,Erik,2026-06-28,58.6,Deck Bar
TX5042,5061,Maja,2026-07-04,188.48,Onboard Boutique
TX5010,4113,Ole,2026-06-08,104.12,Spa
TX5044,3078,Erik,2026-06-28,206.16,Spa
TX5004,3012,Ingrid,2026-07-20,179.6,Photo Shop
TX5038,4022,Anna,2026-06-12,88.34,Onboard Boutique
TX5032,5199,Birgitte,2026-07-29,122.32,Spa
TX5011,5087,Karin,2026-06-16,121.24,Onboard Boutique
TX5020,4055,Kristine,2026-07-25,213.87,Photo Shop
TX5022,5033,Bjørn,2026-07-20,210.21,Spa
TX5005,3012,Ingrid,2026-07-18,156.01,Onboard Boutique
TX5040,6208,Nils,2026-07-01,213.37,Main Restaurant
TX5024,3067,Beth,2026-07-26,134.98,Deck Bar
TX5043,3078,Erik,2026-06-26,139.31,Deck Bar
TX5035,6077,Camilla,2026-06-05,48.32,Deck Bar
TX5034,3145,Andy,2026-07-23,97.8,Spa
TX5001,4021,Anna,2026-07-12,55.32,Main Restaurant
TX5049,3068,Linnea,2026-07-15,65.74,Onboard Boutique
TX5057,4301,Signe,2026-07-30,178.07,Main Restaurant
TX5017,2110,Lars,2026-07-31,219.43,Main Restaurant
TX5013,3099,Henrik,2026-07-14,178.67,Deck Bar
TX5037,4022,Anna,2026-06-12,191.31,Spa
TX5025,6112,Mikael,2026-07-31,208.75,Deck Bar
TX5008,2045,Freja,2026-07-22,139.13,Main Restaurant
TX5033,3145,Andy,2026-07-21,28.55,Deck Bar
TX5055,4301,Signe,2026-07-28,191.3,Deck Bar
TX5054,3210,Ida,2026-06-10,85.31,Onboard Boutique
TX5021,5033,Bjørn,2026-07-24,100.17,Onboard Boutique
TX5051,2099,Gustav,2026-07-15,142.47,Onboard Boutique
TX5047,6209,Thomas,2026-08-01,68.42,Deck Bar
TX5023,3067,Beth,2026-07-29,40.4,Photo Shop
TX5028,4144,Jonas,2026-07-03,33.65,Spa
TX5039,6208,Nils,2026-07-05,40.82,Photo Shop
TX5007,2045,Freja,2026-07-20,24.71,Onboard Boutique
TX5003,3012,Ingrid,2026-07-22,54.73,Photo Shop
